ID	First name	Last Name	Email	Gender	Student type	Exam result	Homework sent	Homework evaluated	Teamwork	Attendances	Bonus
50	Kelly	Woods	kwoods1d@bigcartel.com	Female	Online	392	10	10	11.3	5	1.4
51	Fred	Simmons	fsimmons1e@squarespace.com	Male	Onsite	71	10	3	14.7	6	2.73
52	Joan	Lee	jlee1f@hatena.ne.jp	Female	Onsite	221	3	6	13.5	3	0.09
53	Charles	Alvarez	calvarez1g@usatoday.com	Male	Onsite	269	1	3	9.6	6	0.23
54	Carolyn	Grant	cgrant1h@stanford.edu	Female	Onsite	260	4	3	4.3	2	2.36
55	Rose	Hernandez	rhernandez1i@aol.com	Female	Online	120	5	7	8.6	6	3.92
56	Susan	Dixon	sdixon1j@prweb.com	Female	Online	169	9	7	8.0	6	3.1
57	Terry	Pierce	tpierce1k@arizona.edu	Male	Online	108	0	6	8.8	3	2.63
58	Robin	Long	rlong1l@berkeley.edu	Female	Onsite	59	1	2	1.1	1	1.68
59	Tina	Olson	tolson1m@nifty.com	Female	Online	264	6	7	4.7	7	1.31
60	Albert	Cruz	acruz1n@archive.org	Male	Onsite	84	6	7	3.2	3	2.89
61	Kathryn	Lee	klee1o@ucsd.edu	Female	Onsite	373	9	2	3.9	7	4.21
62	Frances	Peters	fpeters1p@google.cn	Female	Onsite	198	8	5	0.1	8	3.28
63	Terry	Frazier	tfrazier1q@simplemachines.org	Male	Onsite	205	3	0	3.2	1	3.39
64	Eugene	Lawson	elawson1r@hugedomains.com	Male	Online	295	0	4	1.6	1	4.57
65	Emily	Howard	ehoward1s@samsung.com	Female	Online	92	4	1	5.8	4	3.57
66	Marilyn	Clark	mclark1t@furl.net	Female	Onsite	194	2	6	7.2	9	2.82
67	Nicholas	Reyes	nreyes1u@imdb.com	Male	Online	317	9	6	8.2	8	4.26
68	Beverly	Clark	bclark1v@usatoday.com	Female	Online	116	6	10	1.6	7	3.0
69	Lawrence	Evans	levans1w@t-online.de	Male	Onsite	285	10	2	11.0	6	2.53
70	Juan	Ferguson	jferguson1x@omniture.com	Male	Onsite	34	5	1	6.0	3	1.26
71	Theresa	Simpson	tsimpson1y@prlog.org	Female	Onsite	392	2	8	12.7	0	4.02
72	Amanda	Hernandez	ahernandez1z@mail.ru	Female	Onsite	51	3	4	0.6	9	4.37
73	Catherine	Porter	cporter20@canalblog.com	Female	Onsite	102	9	1	14.8	8	1.66
74	Stephen	Roberts	sroberts21@youtu.be	Male	Onsite	110	2	0	10.8	4	1.94
75	William	Garcia	wgarcia22@marketwatch.com	Male	Onsite	174	2	0	3.9	10	1.47
76	Roger	Adams	radams23@oracle.com	Male	Online	375	2	2	10.2	9	3.42
77	Billy	Bowman	bbowman24@t.co	Male	Onsite	193	0	0	3.4	5	0.13
78	David	Johnston	djohnston25@seattletimes.com	Male	Onsite	205	2	1	6.6	2	4.41
79	Julie	Cunningham	jcunningham26@dot.gov	Female	Online	32	6	9	7.3	3	1.39
80	Arthur	James	ajames27@netvibes.com	Male	Onsite	178	9	9	6.7	3	1.98
81	Julie	Riley	jriley28@time.com	Female	Onsite	173	6	9	8.8	5	1.51
82	Helen	Williamson	hwilliamson29@scribd.com	Female	Onsite	339	8	4	4.3	10	2.7
83	Anne	Powell	apowell2a@google.co.uk	Female	Online	55	3	0	14.1	10	1.58
84	Elizabeth	James	ejames2b@chron.com	Female	Onsite	59	5	9	11.4	3	4.8
85	Mildred	Hart	mhart2c@meetup.com	Female	Online	160	8	10	0.6	3	1.11
86	Cynthia	Olson	colson2d@macromedia.com	Female	Onsite	93	0	7	7.2	0	4.72
87	Fred	Andrews	fandrews2e@skype.com	Male	Onsite	40	1	0	7.5	4	2.27
88	Raymond	Stewart	rstewart2f@symantec.com	Male	Online	322	10	1	11.7	7	2.96
89	Catherine	Diaz	cdiaz2g@slideshare.net	Female	Online	144	9	1	3.7	6	1.8
90	Antonio	Rodriguez	arodriguez2h@xrea.com	Male	Onsite	184	7	0	4.6	4	1.28
91	Maria	Price	mprice2i@i2i.jp	Female	Online	62	8	10	11.6	0	4.64
92	Ann	Anderson	aanderson2j@abc.net.au	Female	Onsite	378	10	10	5.7	3	0.99
93	Diana	Flores	dflores2k@engadget.com	Female	Onsite	254	1	5	10.4	3	3.5
94	James	Nelson	jnelson2l@independent.co.uk	Male	Online	380	9	7	3.2	4	3.67
95	Ernest	Banks	ebanks2m@edublogs.org	Male	Onsite	22	8	2	5.9	2	0.46
96	Shirley	Hall	shall2n@topsy.com	Female	Online	8	8	4	12.6	10	0.13
97	Justin	Reyes	jreyes2o@elegantthemes.com	Male	Onsite	206	3	1	12.3	8	0.47
98	Edward	Nelson	enelson2p@lycos.com	Male	Online	34	10	10	0.4	1	2.98
99	Ruby	Lewis	rlewis2q@oracle.com	Female	Onsite	338	8	6	6.0	7	4.24
100	Andrea	Kelly	akelly2r@hao123.com	Female	Online	9	10	5	1.8	1	0.83
101	Anne	Pierce	apierce2s@alibaba.com	Female	Online	274	2	1	7.9	10	2.7
102	Louis	Kim	lkim2t@sakura.ne.jp	Male	Online	50	7	9	3.7	5	4.8
103	Lisa	Porter	lporter2u@drupal.org	Female	Onsite	19	0	9	5.0	7	2.77
104	George	Stanley	gstanley2v@hud.gov	Male	Online	386	6	6	0.3	6	2.73
105	Wanda	Gray	wgray2w@microsoft.com	Female	Online	29	8	3	10.6	6	4.43
106	Roger	Payne	rpayne2x@fastcompany.com	Male	Online	151	4	6	12.3	10	2.28
107	Fred	Palmer	fpalmer2y@washington.edu	Male	Onsite	316	8	6	2.1	7	2.72
108	Russell	Brown	rbrown2z@mayoclinic.com	Male	Onsite	364	2	3	3.8	2	2.58
109	Lois	Richardson	lrichardson30@sfgate.com	Female	Onsite	280	8	2	7.2	4	4.87
110	Alice	Edwards	aedwards31@ft.com	Female	Online	82	7	7	0.0	7	1.63
111	Roy	Hill	rhill32@forbes.com	Male	Online	330	5	3	9.7	8	1.34
112	Carol	Morris	cmorris33@flickr.com	Female	Onsite	6	0	0	9.0	3	1.4
113	Wanda	Marshall	wmarshall34@over-blog.com	Female	Online	49	1	0	1.0	7	1.25
114	Virginia	Duncan	vduncan35@admin.ch	Female	Onsite	289	9	0	12.6	4	2.71
115	Jessica	Wheeler	jwheeler36@g.co	Female	Onsite	367	9	1	9.1	1	4.13
116	Joe	Fisher	jfisher37@cpanel.net	Male	Onsite	200	1	8	13.5	3	3.2
117	Scott	Campbell	scampbell38@ted.com	Male	Onsite	330	1	5	6.2	3	3.63
118	Christina	Cruz	ccruz39@goodreads.com	Female	Onsite	96	10	4	4.8	0	4.76
119	Margaret	Wilson	mwilson3a@e-recht24.de	Female	Online	119	9	8	10.9	10	4.13
120	Gary	Cunningham	gcunningham3b@pbs.org	Male	Online	46	2	2	3.8	9	1.34
121	Lawrence	Nichols	lnichols3c@eepurl.com	Male	Onsite	316	0	3	13.5	5	4.72
122	Irene	Cooper	icooper3d@angelfire.com	Female	Onsite	144	1	1	5.5	6	1.68
123	Mark	Harvey	mharvey3e@soundcloud.com	Male	Onsite	86	3	4	8.5	2	0.35
124	Kimberly	Freeman	kfreeman3f@msn.com	Female	Online	38	6	9	13.3	6	2.32
125	Kathryn	James	kjames3g@taobao.com	Female	Onsite	375	4	6	1.4	10	0.4
126	Emily	Cruz	ecruz3h@prlog.org	Female	Onsite	101	8	9	10.4	0	4.5
127	Albert	Miller	amiller3i@alexa.com	Male	Online	126	9	6	3.1	2	1.33
128	Tammy	Shaw	tshaw3j@youtube.com	Female	Onsite	170	1	1	13.3	7	0.78
129	Virginia	Long	vlong3k@newyorker.com	Female	Online	275	7	8	11.2	10	0.5
130	Mary	Jacobs	mjacobs3l@ft.com	Female	Onsite	24	9	7	13.9	8	1.16
131	Rebecca	Cruz	rcruz3m@timesonline.co.uk	Female	Online	55	5	5	6.1	5	1.18
132	Jason	Garrett	jgarrett3n@nasa.gov	Male	Onsite	284	10	1	3.6	9	2.59
133	Tina	Garcia	tgarcia3o@bizjournals.com	Female	Online	344	10	8	6.0	10	4.26
134	Peter	Grant	pgrant3p@unicef.org	Male	Online	319	6	4	4.2	0	2.24
135	Irene	Porter	iporter3q@dmoz.org	Female	Online	296	2	4	4.0	3	0.09
136	Judy	Nichols	jnichols3r@domainmarket.com	Female	Online	177	7	3	13.0	2	2.65
137	Phillip	Greene	pgreene3s@desdev.cn	Male	Onsite	126	7	5	2.6	1	3.64
138	Sharon	Knight	sknight3t@bloglovin.com	Female	Onsite	78	0	6	3.1	4	4.55
139	Brian	Crawford	bcrawford3u@lycos.com	Male	Onsite	271	0	0	12.0	1	0.07
140	Linda	Dean	ldean3v@zimbio.com	Female	Onsite	290	4	4	5.3	7	0.31
141	Melissa	Ferguson	mferguson3w@google.co.uk	Female	Online	218	9	3	4.9	10	1.8
142	Kathy	Dunn	kdunn3x@chronoengine.com	Female	Onsite	153	2	6	5.2	8	0.95
143	Rose	Hughes	rhughes3y@washingtonpost.com	Female	Online	335	8	8	8.0	0	3.71
144	Dennis	Bennett	dbennett3z@dmoz.org	Male	Online	356	3	1	3.9	7	3.16
145	Henry	Sullivan	hsullivan40@flickr.com	Male	Online	23	0	0	12.0	7	0.35
146	James	Parker	jparker41@ameblo.jp	Male	Onsite	199	8	10	6.5	4	0.96
147	Michelle	Nguyen	mnguyen42@fema.gov	Female	Onsite	53	5	10	2.1	8	1.4
148	Paula	Fowler	pfowler43@nhs.uk	Female	Onsite	74	9	6	12.2	5	3.49
149	Harold	Wood	hwood44@freewebs.com	Male	Online	330	6	5	6.4	7	1.82
150	Bonnie	Peterson	bpeterson45@google.cn	Female	Online	352	0	8	8.2	4	0.3
151	Paula	George	pgeorge46@army.mil	Female	Onsite	351	7	7	0.5	6	1.45
152	Ashley	Cunningham	acunningham47@qq.com	Female	Onsite	363	8	4	10.8	4	4.64
153	Aaron	Sanders	asanders48@etsy.com	Male	Online	17	9	1	2.4	10	2.98
154	Robin	Bowman	rbowman49@altervista.org	Female	Onsite	307	4	4	1.9	8	4.07
155	Terry	Sullivan	tsullivan4a@wired.com	Male	Onsite	62	9	5	5.4	1	1.16
156	Shirley	Schmidt	sschmidt4b@forbes.com	Female	Online	3	2	2	11.2	1	0.91
157	Albert	Patterson	apatterson4c@sciencedirect.com	Male	Online	78	0	4	9.4	7	3.55
158	Sara	Weaver	sweaver4d@berkeley.edu	Female	Online	225	3	9	6.2	3	0.66
159	Frances	Lewis	flewis4e@ucoz.ru	Female	Online	304	8	10	7.5	5	4.24
160	Joshua	Day	jday4f@independent.co.uk	Male	Onsite	207	0	3	11.6	8	0.8
161	Bruce	Evans	bevans4g@mail.ru	Male	Online	11	10	1	6.3	6	3.05
162	Carolyn	Palmer	cpalmer4h@google.fr	Female	Online	265	10	9	9.0	3	2.76
163	Christine	Hamilton	chamilton4i@geocities.com	Female	Online	74	0	7	12.3	6	0.98
164	Steve	Smith	ssmith4j@bloglines.com	Male	Onsite	362	4	5	10.7	5	1.12
165	Steven	Castillo	scastillo4k@businessinsider.com	Male	Online	321	9	3	12.9	6	1.86
166	Virginia	Medina	vmedina4l@state.tx.us	Female	Online	104	1	4	3.5	3	3.69
167	Tina	Perez	tperez4m@craigslist.org	Female	Onsite	316	0	2	14.8	1	1.21
168	Elizabeth	Nelson	enelson4n@apple.com	Female	Onsite	110	10	7	2.1	10	1.56
169	Jose	Burke	jburke4o@youku.com	Male	Onsite	154	1	10	4.4	7	2.97
170	Willie	Henderson	whenderson4p@walmart.com	Male	Onsite	46	8	6	10.9	0	1.96
171	Maria	Russell	mrussell4q@intel.com	Female	Onsite	165	5	4	9.3	2	2.07
172	Jane	Howard	jhoward4r@goodreads.com	Female	Onsite	64	6	0	13.2	8	0.36
173	Ryan	Howell	rhowell4s@rakuten.co.jp	Male	Onsite	64	7	6	2.8	3	3.42
174	Anthony	Ryan	aryan4t@github.com	Male	Onsite	352	6	0	4.0	2	1.89
175	Andrew	Wells	awells4u@google.nl	Male	Onsite	1	6	2	14.5	7	0.03
176	Jimmy	Mcdonald	jmcdonald4v@xrea.com	Male	Onsite	156	3	4	13.7	8	3.51
177	Lois	Barnes	lbarnes4w@diigo.com	Female	Online	283	10	4	4.5	3	0.25
178	Janet	Cunningham	jcunningham4x@ucoz.ru	Female	Onsite	193	5	1	8.8	1	0.09
179	Mark	Cooper	mcooper4y@addtoany.com	Male	Online	286	9	3	1.8	9	0.24
180	Christine	Warren	cwarren4z@usgs.gov	Female	Onsite	101	3	0	13.3	1	0.27
181	Lori	Palmer	lpalmer50@newsvine.com	Female	Online	241	7	1	8.8	3	2.43
182	Heather	Phillips	hphillips51@mlb.com	Female	Onsite	384	7	10	2.5	4	0.29
183	Daniel	Jackson	djackson52@zdnet.com	Male	Onsite	211	4	0	12.3	6	0.59
184	Justin	Sanchez	jsanchez53@digg.com	Male	Online	260	6	10	6.6	3	3.45
185	Helen	Schmidt	hschmidt54@scientificamerican.com	Female	Onsite	332	5	4	10.7	1	2.83
186	Lori	Mason	lmason55@wordpress.com	Female	Online	177	10	6	2.5	3	2.5
187	Albert	Kennedy	akennedy56@weebly.com	Male	Onsite	329	6	5	9.5	3	3.03
188	Gary	Richards	grichards57@sakura.ne.jp	Male	Online	364	3	4	15.0	5	1.72
189	Joshua	Wheeler	jwheeler58@slideshare.net	Male	Onsite	398	0	5	10.6	2	1.33
190	Melissa	Alvarez	malvarez59@theatlantic.com	Female	Onsite	23	1	0	0.9	9	4.67
191	Peter	Hansen	phansen5a@walmart.com	Male	Onsite	92	3	4	1.1	3	1.7
192	Michelle	Ellis	mellis5b@cnet.com	Female	Onsite	345	10	10	1.7	2	4.46
193	Melissa	Cole	mcole5c@jigsy.com	Female	Onsite	82	8	3	9.7	3	0.93
194	Donald	Lee	dlee5d@yale.edu	Male	Online	45	8	2	9.8	0	3.66
195	Julie	Hill	jhill5e@google.es	Female	Online	367	4	7	7.6	10	0.55
196	Deborah	Reed	dreed5f@dailymail.co.uk	Female	Online	146	0	3	3.7	4	4.86
197	Evelyn	Fisher	efisher5g@tripod.com	Female	Online	361	8	6	10.0	3	2.48
198	Stephen	Kelley	skelley5h@arizona.edu	Male	Online	174	10	2	4.6	1	4.44
199	Frances	Garza	fgarza5i@people.com.cn	Female	Onsite	64	0	4	6.0	9	0.54
200	Stephanie	Alvarez	salvarez5j@google.de	Female	Onsite	198	0	10	11.8	4	0.23
201	Patricia	Peterson	ppeterson5k@mapquest.com	Female	Online	189	6	6	2.3	10	3.88
202	Marie	White	mwhite5l@cloudflare.com	Female	Online	108	3	6	1.9	5	4.13
203	Harry	Taylor	htaylor5m@yolasite.com	Male	Online	372	3	10	4.4	3	0.07
204	Denise	Garrett	dgarrett5n@myspace.com	Female	Onsite	295	6	7	14.8	7	0.33
205	Willie	Washington	wwashington5o@canalblog.com	Male	Online	321	6	2	4.0	3	4.52
206	Nicholas	Hernandez	nhernandez5p@reuters.com	Male	Onsite	378	7	10	11.0	1	2.5
207	Todd	Reid	treid5q@linkedin.com	Male	Onsite	398	3	1	8.5	1	4.86
208	Anna	Watson	awatson5r@tumblr.com	Female	Online	84	6	5	7.9	2	0.67
209	Catherine	Carter	ccarter5s@tmall.com	Female	Online	41	5	4	14.7	3	2.31
210	Douglas	Garza	dgarza5t@hao123.com	Male	Online	156	5	0	6.7	0	0.79
211	Wanda	Crawford	wcrawford5u@paginegialle.it	Female	Onsite	363	6	7	4.0	3	1.06
212	Sarah	Greene	sgreene5v@elpais.com	Female	Onsite	269	7	0	1.9	10	2.81
213	Laura	Johnson	ljohnson5w@ihg.com	Female	Online	67	2	6	8.9	3	1.45
214	Willie	Jenkins	wjenkins5x@youku.com	Male	Onsite	350	6	5	14.7	8	4.12
215	Tammy	Roberts	troberts5y@studiopress.com	Female	Online	356	9	10	10.9	8	3.95
216	Willie	Nelson	wnelson5z@cbc.ca	Male	Online	40	7	6	7.8	0	3.0
217	Julia	Powell	jpowell60@mozilla.com	Female	Onsite	357	1	0	0.1	4	4.0
218	Joe	Long	jlong61@tmall.com	Male	Online	45	10	8	4.0	10	1.69
219	Robert	Harper	rharper62@cmu.edu	Male	Onsite	309	7	10	6.4	4	1.06
220	Michelle	Henderson	mhenderson63@hhs.gov	Female	Onsite	169	1	9	11.4	0	3.12
221	Ruth	Foster	rfoster64@friendfeed.com	Female	Onsite	111	3	0	13.0	9	1.47
222	Joe	Griffin	jgriffin65@walmart.com	Male	Onsite	281	3	0	8.2	0	3.36
223	Kathryn	Howell	khowell66@studiopress.com	Female	Online	117	4	3	9.2	5	0.73
224	Ruth	Peters	rpeters67@google.com	Female	Online	365	6	5	9.7	0	3.66
225	Teresa	Harvey	tharvey68@about.me	Female	Onsite	291	2	1	10.2	0	0.36
226	Lisa	Powell	lpowell69@ustream.tv	Female	Onsite	398	10	9	7.0	7	2.46
227	Anna	Kim	akim6a@independent.co.uk	Female	Online	279	2	9	13.1	3	4.26
228	Ashley	Walker	awalker6b@xinhuanet.com	Female	Online	340	4	10	13.2	10	2.44
229	Sara	Hunter	shunter6c@blogger.com	Female	Onsite	214	4	6	9.8	4	0.01
230	Chris	Wright	cwright6d@npr.org	Male	Online	318	4	2	12.6	5	0.55
231	Bobby	Burton	bburton6e@samsung.com	Male	Online	312	2	8	12.0	10	1.55
232	Henry	Jones	hjones6f@google.cn	Male	Online	251	5	9	0.5	6	2.19
233	Emily	Thomas	ethomas6g@google.es	Female	Onsite	16	1	3	12.9	6	0.47
234	Heather	Black	hblack6h@kickstarter.com	Female	Online	341	10	4	1.9	10	1.2
235	Jason	Fisher	jfisher6i@facebook.com	Male	Onsite	189	4	10	7.9	0	2.02
236	Daniel	Elliott	delliott6j@disqus.com	Male	Online	90	8	5	5.7	6	0.57
237	Jason	Scott	jscott6k@yolasite.com	Male	Online	375	1	0	11.6	7	3.17
238	Edward	Patterson	epatterson6l@dailymail.co.uk	Male	Onsite	88	0	7	12.5	7	4.29
239	Ralph	Carpenter	rcarpenter6m@blogspot.com	Male	Online	295	8	1	1.5	5	1.63
240	Jerry	Wells	jwells6n@smh.com.au	Male	Online	167	9	5	1.7	3	0.92
241	Clarence	Jenkins	cjenkins6o@vistaprint.com	Male	Online	80	10	10	0.0	5	4.97
242	Joan	Barnes	jbarnes6p@gizmodo.com	Female	Onsite	296	2	4	1.0	10	3.45
243	Tammy	Wood	twood6q@mediafire.com	Female	Onsite	313	9	10	4.0	2	4.86
244	Arthur	Dunn	adunn6r@wix.com	Male	Online	169	3	0	1.1	0	4.79
245	Michelle	Knight	mknight6s@usa.gov	Female	Onsite	300	6	2	7.0	10	1.28
246	Louise	Hall	lhall6t@omniture.com	Female	Online	100	1	7	2.6	5	3.2
247	Phyllis	Jenkins	pjenkins6u@irs.gov	Female	Online	393	5	10	5.8	8	2.83
248	Joe	Miller	jmiller6v@huffingtonpost.com	Male	Onsite	334	2	5	12.6	2	4.44
249	Denise	Wells	dwells6w@eepurl.com	Female	Onsite	182	3	10	5.6	8	1.8
250	Christine	Morales	cmorales6x@state.gov	Female	Online	123	7	2	7.0	0	0.27
251	Joshua	Murphy	jmurphy6y@yahoo.com	Male	Online	152	8	9	6.6	8	0.38
252	Johnny	Holmes	jholmes6z@prlog.org	Male	Onsite	72	3	8	3.7	10	0.6
253	Theresa	Butler	tbutler70@mediafire.com	Female	Online	366	3	10	2.9	2	3.62
254	Ronald	Ellis	rellis71@hatena.ne.jp	Male	Online	149	6	2	11.0	3	2.37
255	Steven	Morales	smorales72@usnews.com	Male	Online	100	5	7	5.9	1	4.77
256	Karen	Sanders	ksanders73@china.com.cn	Female	Online	262	2	7	12.2	1	4.52
257	Eugene	Lawrence	elawrence74@wp.com	Male	Online	148	5	2	12.8	2	4.19
258	William	Jacobs	wjacobs75@alibaba.com	Male	Online	166	4	4	10.0	5	1.15
259	Tina	Hamilton	thamilton76@bandcamp.com	Female	Online	331	3	3	11.5	9	3.13
260	Norma	Jackson	njackson77@cbsnews.com	Female	Onsite	50	7	7	13.4	2	0.21
261	Steven	Williamson	swilliamson78@hatena.ne.jp	Male	Online	361	5	1	3.5	6	1.18
262	Jason	Gutierrez	jgutierrez79@cdc.gov	Male	Online	351	5	3	5.4	1	1.91
263	Jennifer	Stanley	jstanley7a@tripod.com	Female	Onsite	185	4	0	13.0	3	2.18
264	Kathryn	Mason	kmason7b@purevolume.com	Female	Online	99	6	4	11.1	1	1.25
265	Mark	Reyes	mreyes7c@nbcnews.com	Male	Online	304	10	8	10.7	6	2.99
266	Ruby	Ferguson	rferguson7d@weebly.com	Female	Onsite	274	9	10	2.4	3	0.49
267	Earl	Murray	emurray7e@opensource.org	Male	Onsite	55	10	8	10.9	2	4.81
268	Eric	Gutierrez	egutierrez7f@hexun.com	Male	Onsite	5	3	0	0.9	0	2.06
269	James	Elliott	jelliott7g@taobao.com	Male	Onsite	74	7	7	5.5	1	3.91
270	Sara	Payne	spayne7h@goodreads.com	Female	Onsite	173	7	6	7.1	6	3.82
271	Alan	Evans	aevans7i@businesswire.com	Male	Online	68	4	9	7.8	4	4.74
272	Jacqueline	Jones	jjones7j@soundcloud.com	Female	Online	69	10	8	12.8	6	3.89
273	Catherine	Gutierrez	cgutierrez7k@sciencedaily.com	Female	Onsite	188	3	1	13.8	1	3.26
274	Brenda	James	bjames7l@engadget.com	Female	Onsite	142	7	6	11.0	4	1.23
275	Jeffrey	Henderson	jhenderson7m@jugem.jp	Male	Onsite	52	7	3	8.2	0	4.11
276	Jimmy	James	jjames7n@yelp.com	Male	Online	162	6	7	12.3	8	1.06
277	Clarence	Anderson	canderson7o@themeforest.net	Male	Onsite	261	0	2	8.7	10	2.52
278	Jeremy	Watkins	jwatkins7p@eepurl.com	Male	Onsite	128	3	3	4.2	7	0.53
279	Sarah	Jacobs	sjacobs7q@deliciousdays.com	Female	Online	94	8	1	8.5	4	4.09
280	Jack	Willis	jwillis7r@smugmug.com	Male	Online	220	7	8	1.3	4	2.33
281	Tina	Powell	tpowell7s@sourceforge.net	Female	Online	126	10	1	15.0	8	2.62
282	Gloria	Taylor	gtaylor7t@geocities.com	Female	Onsite	140	6	1	10.8	1	1.15
283	Joshua	Green	jgreen7u@kickstarter.com	Male	Online	111	5	6	1.5	0	2.93
284	Jason	Wallace	jwallace7v@telegraph.co.uk	Male	Online	348	5	5	12.8	9	1.33
285	Roger	Gardner	rgardner7w@4shared.com	Male	Onsite	245	1	2	12.7	6	1.32
286	Gregory	Russell	grussell7x@rakuten.co.jp	Male	Online	266	0	0	8.1	9	4.55
287	Joshua	Russell	jrussell7y@census.gov	Male	Online	144	3	0	2.3	7	4.2
288	Robin	Rice	rrice7z@bloomberg.com	Female	Onsite	30	10	0	1.8	10	2.18
289	Kelly	Nichols	knichols80@taobao.com	Female	Onsite	346	10	10	11.7	0	0.2
290	Donna	Morales	dmorales81@deliciousdays.com	Female	Onsite	89	7	4	9.5	3	4.71
291	Theresa	Robinson	trobinson82@rediff.com	Female	Online	268	0	8	7.4	4	0.55
292	Shawn	Grant	sgrant83@bing.com	Male	Onsite	113	3	4	1.5	5	2.32
